topic,source_type,stance_score_z
Christian_Orthodoxy,news,0.3484796411481843
Christian_Orthodoxy,podcast,-0.3150352236097138
LGBTQ,news,-0.005828215535322206
LGBTQ,podcast,0.16387027706156965
abortion,news,0.2548839423040462
abortion,podcast,0.5337812332086637
alexandria_ocasio-cortez,news,0.36378538939106525
alexandria_ocasio-cortez,podcast,-0.1734742025672268
benjamin_netanyahu,news,-0.2924135206503128
benjamin_netanyahu,podcast,-0.2836600816993434
bernie_sanders,news,0.5412386780022571
bernie_sanders,podcast,-0.0031403131085217728
bob_menendez,news,-0.10068601349393462
bob_menendez,podcast,0.14560890534708884
caitlin_clark,news,0.8994865778919005
caitlin_clark,podcast,0.7173369549285589
canada,news,-0.11074599534480928
canada,podcast,-0.0060707009812034475
capital_punishment,news,-0.4137762453761468
capital_punishment,podcast,-1.1061786718552262
china,news,-0.1083822652688747
china,podcast,-0.19806583458307384
chuck_schumer,news,-0.07714722659309375
chuck_schumer,podcast,-0.20975790045714893
civil_rights,news,1.0772462070500906
civil_rights,podcast,1.0685626790296983
climate_change,news,0.5494636691762887
climate_change,podcast,0.7646142993108901
communism,news,0.18978964336599408
communism,podcast,-0.4391361566678334
covid-19,news,0.1632367339599518
covid-19,podcast,0.02118560730043976
crypto,news,0.6271789497531559
crypto,podcast,0.0581117995990539
democratic_party,news,0.2193024353292401
democratic_party,podcast,-0.22116275303552707
dictatorship,news,-1.1061786718552262
dictatorship,podcast,-0.6643712916661738
diddy,news,-0.44689246498396595
diddy,podcast,0.03751778641043118
discrimination,news,-0.5661918738463844
discrimination,podcast,-0.09228737629317015
"diversity,_equity_and_inclusion",news,-0.5038857048453642
"diversity,_equity_and_inclusion",podcast,-0.4581945142446161
donald_trump,news,-0.32069965517866367
donald_trump,podcast,-0.3401231418494074
el_salvador,news,0.1764247006607852
el_salvador,podcast,0.2615069392774912
elon_musk,news,-0.02209200991146877
elon_musk,podcast,-0.09188848916768345
environmental_policy,news,-0.37458365519808573
environmental_policy,podcast,0.78377512117572
euthanasia,news,0.39807026545511875
euthanasia,podcast,-0.4581945142446161
family_planning,news,0.2886134820749481
family_planning,podcast,0.5778808744529242
fema,news,0.055451464349160255
fema,podcast,-0.5733677781388608
genocide,news,-0.15081741383958308
genocide,podcast,-0.2607013347338126
global_warming,news,0.7304043330004275
global_warming,podcast,0.7452046356036599
government_aid,news,-0.5956456991923212
government_aid,podcast,0.18978964336599408
ice,news,-0.3026610827968566
ice,podcast,0.1800301199806353
immigration,news,-0.3501971546428477
immigration,podcast,-0.3820241910817795
immigration_policy,news,-0.5951844536052484
immigration_policy,podcast,-0.28392604761448986
india,news,0.23447820595982924
india,podcast,0.18644010119789411
india_pakistan,news,-0.09570832706640348
india_pakistan,podcast,-0.06670408568820578
iran,news,-0.2335571011657529
iran,podcast,-0.2523401001188952
israel,news,-0.3029437521972394
israel,podcast,0.1679474807499061
israel_gaza,news,-0.27880626202266034
israel_gaza,podcast,-0.014205369215123942
jd_vance,news,0.011551257004764231
jd_vance,podcast,-0.08354880659954356
jeff_bezos,news,-0.16120177533975308
jeff_bezos,podcast,-0.08150492864567704
jeffrey_epstein,news,-0.29619847484196354
jeffrey_epstein,podcast,-0.6830962321781956
joe_biden,news,0.2792750388446247
joe_biden,podcast,-0.3332740802515249
justin_trudeau,news,-0.1082830691348866
justin_trudeau,podcast,-0.3271813239080446
kamala_harris,news,0.5429816352297709
kamala_harris,podcast,-0.18196032756487263
kanye_west,news,-0.02620507583754265
kanye_west,podcast,0.21003914829132564
kevin_mccarthy,news,0.15379052349873795
kevin_mccarthy,podcast,-0.16291059432079374
luigi_mangione,news,-0.2754297518416235
luigi_mangione,podcast,0.0022152819523963974
mark_carney,news,0.009454429691343122
mark_carney,podcast,-0.30312138250874354
mark_zuckerberg,news,-0.02620507583754265
mark_zuckerberg,podcast,-0.15978075745025613
mexico,news,-0.056929188272963886
mexico,podcast,0.051325277662324705
mike_johnson,news,0.13056528487470173
mike_johnson,podcast,-0.11560208912605585
military_service,news,0.5137817221712991
military_service,podcast,0.17273742869203065
mitch_mcconnell,news,-0.11737167809877569
mitch_mcconnell,podcast,-0.1957877066171789
nancy_pelosi,news,0.45147555317027893
nancy_pelosi,podcast,-0.3131436672480987
nuclear_policy,news,-0.21153952769650955
nuclear_policy,podcast,-0.09038383461728204
nuclear_power,news,0.8137743877317668
nuclear_power,podcast,1.144935122441374
opioids,news,0.2320494797319034
opioids,podcast,-0.11016062040428837
pakistan,news,-0.34019100950402575
pakistan,podcast,-0.22394672017880865
personal_weapon_control_policy,news,-0.3585046438429838
personal_weapon_control_policy,podcast,0.5137817221712991
pete_buttigieg,news,0.4548740714794255
pete_buttigieg,podcast,-0.134202435439311
pete_hegseth,news,-0.17347420256722676
pete_hegseth,podcast,0.08330273634606862
police,news,0.11866943094531734
police,podcast,0.0203927696759107
pope,news,0.744825253778361
pope,podcast,0.4031011983558222
pornography,news,-0.049682762707492285
pornography,podcast,-0.18473331011536775
racism,news,-0.759044301706685
racism,podcast,-0.2595327046067953
religion,news,0.6305356244434811
religion,podcast,0.5717740100770481
republican_party,news,-0.05443822665974228
republican_party,podcast,-0.17238877351038429
robert_f._kennedy_jr,news,-0.33824662714593073
robert_f._kennedy_jr,podcast,-0.02227789912475107
ron_desantis,news,0.12238189542663529
ron_desantis,podcast,0.26095553350819983
russia,news,-0.215621588691944
russia,podcast,-0.22415420042731415
russia_ukraine,news,-0.17467780313594572
russia_ukraine,podcast,-0.2814715621689951
sam_altman,news,0.584214782781148
sam_altman,podcast,-0.18574662979470044
saudi_arabia,news,0.1738328600415358
saudi_arabia,podcast,0.02899803548306385
taiwan,news,-0.03751369987961263
taiwan,podcast,0.18254381412753676
tariffs,news,-0.35750015567279264
tariffs,podcast,-0.33044772784180154
taylor_swift,news,0.5137817221712991
taylor_swift,podcast,0.17537606926053562
taylor_swift_travis_kelce,news,0.18978964336599408
taylor_swift_travis_kelce,podcast,0.40578436256953077
terrorism,news,-0.21781329448584136
terrorism,podcast,-0.4993363655214802
texas_floods,news,0.08027119419236983
texas_floods,podcast,0.1399447081651779
tiktok,news,0.06746610340888909
tiktok,podcast,0.17346281740525554
tim_cook,news,0.4092681483631362
tim_cook,podcast,0.24378832316687823
tim_walz,news,0.664184234576083
tim_walz,podcast,0.1296674019382055
tobacco_and_nicotine,news,0.25799850206184777
tobacco_and_nicotine,podcast,0.5319835243513724
unions,news,0.8905166975263051
unions,podcast,0.7146032586208685
united_kingdom,news,0.14640547977926785
united_kingdom,podcast,0.02188880242406401
united_states,news,0.08239846802982276
united_states,podcast,0.19879301491233034
usaid,news,-0.543311077320586
usaid,podcast,-0.558250891522725
vaccine,news,0.3976092636355324
vaccine,podcast,-0.13801410695466754
vladimir_putin,news,-0.23789655834743564
vladimir_putin,podcast,-0.4600673008273057
volodymyr_zelensky,news,0.2510854420588896
volodymyr_zelensky,podcast,-0.002690876235291375
war,news,-0.14146883264249904
war,podcast,0.027301758411746393
welfare,news,0.49246645382884485
welfare,podcast,0.3817197335278324
xi_jinping,news,0.30145681615811376
xi_jinping,podcast,-0.4224691519428905
